review_id,coverage_status,themes,note
K01,mapped_023,khatma-wird,"positive: organize khatma + ad-free"
K02,non_actionable,all-in-one,general praise
K03,non_actionable,general,"excellent (no signal)"
K04,mapped_043,parity,"Android no adhan audio vs iOS"
K05,deferred,accessibility,"elderly simplicity -> roadmap P1"
K06,non_actionable,general,praise
K07,extraction_uncertain,general,"text truncated"
K08,deferred,ui-ux,"dated UI -> roadmap P1"
K09,non_actionable,general,"positive text at 1-star"
K10,mapped_043,parity,"no Android updates vs iOS"
K11,mapped_043,parity,"long-press-to-hear parity"
K12,mapped_043,integrity-text,"missing letters (vague, ASSUM)"
K13,mapped_043,location,"GPS dead-end, no manual entry"
K14,future_spec,tafsir,"tafsir not on Android"
K15,mapped_043,athkar-content,"non-Islamic text amid duas -> GOV-003"
K16,mapped_043,adhan,"adhan not firing"
K17,deferred,adhan-voice,"regional adhan voice"
K18,deferred,ui-ux,"touch/overlay issue"
K19,mapped_043,adhan,"adhan late"
K20,non_actionable,general,"positive text at 1-star"
K21,deferred,ui-ux,"settings hard to adjust"
K22,mapped_043,integrity-text,"tahreef claim (vague, ASSUM)"
K23,mapped_023,khatma-wird,"daily companion positioning"
K24,deferred,product-freshness,"wants newer features"
K25,mapped_043,adhan,"adhan late; auto+manual failed"
K26,mapped_043,adhan,"adhan not working"
K27,mapped_043,integrity-boundary,"Juz 9/10 boundary off"
K28,mapped_043,stability-report,"not working (undiagnosable) -> FR-005"
K29,mapped_043,adhan,"adhan not working"
K30,competitor_specific,monetization,"repeated support popup (no ads in MeMuslim)"
K31,mapped_043,adhan,"adhan not firing"
K32,competitor_specific,monetization,"surprise mid-plan paywall"
K33,mapped_043,adhan,"incomplete audio + wrong time"
K34,mapped_043,integrity-text,"quran not fully correct (vague, ASSUM)"
K35,future_spec,audio-recitation,"recitations fail to play"
K36,mapped_043,adhan,"missing/late notifications (no date)"
K37,competitor_specific,monetization,"repeated support popup"
K38,competitor_specific,monetization,"ads (MeMuslim is ad-free)"
K39,future_spec,riwayat,"Warsh/Qaloon request"
K40,future_spec,riwayat,"Maghreb Warsh; churn to competitor"
K41,non_actionable,all-in-one,"positive text at 1-star"
K42,mapped_043,adhan,"no adhan unless app opened"
K43,mapped_043,regression,"got worse after update -> upgrade tests"
K44,mapped_043,adhan,"adhan stopped (regression)"
K45,mapped_043,integrity-text,"Az-Zukhruf 22 specific"
K46,mapped_043,integrity-number,"Hud ayah number 47 vs 147"
K47,non_actionable,general,"positive text at 1-star"
K48,mapped_041,widget-progress,"Khatma progress widget (upvoted)"
K49,non_actionable,all-in-one,"all in one"
K50,non_actionable,general,praise
K51,mapped_041,widget-progress,"adherence-days streak + widget (secondary 023)"
K52,deferred,ui-ux,"premium clean look -> roadmap"
K53,non_actionable,general,praise
K54,deferred,adhkar-expansion,"more adhkar content"
K55,non_actionable,general,praise
K56,future_spec,riwayat,"Warsh request"
K57,mapped_023,khatma-wird,"relationship with Quran"
K58,non_actionable,general,praise
K59,non_actionable,general,praise
