م,المراجع,التاريخ,النجوم,نص المراجعة الأصلي,اللغة,اكتمال النص,اتجاه النص,توافق النص مع النجوم,الموضوع الرئيسي,موضوع ثانوي,الأهمية لـ MeMuslim,ما نتعلمه لـ MeMuslim,الإجراء المقترح,مصدر الصورة
1,anesa marh,2026-07-06,5,مافيه اعلانات خدمته كويسه جدا انصح فيه مميزاته حلوة وينظم لك الختمه ويساعدك على ختمة القرآن بشكل ممتاز بالايام اللي تساعد وكمية الورد اللي تقروه يوميا انصح فيه وبشدة,العربية,كامل تقريبًا,إيجابي,متوافق,الختمة والورد اليومي,بدون إعلانات,فرصة عالية,القيمة الأساسية التي يفهمها المستخدم فورًا هي تنظيم الختمة ومساعدته على إكمال القرآن، مع تقدير واضح لعدم وجود إعلانات.,اجعل «ورد اليوم/خطة الختمة» محور الصفحة الرئيسية، واظهر وعد «بدون إعلانات» بوضوح في المتجر وداخل المنتج.,S01
2,Razan Amer,2026-07-05,5,تحفه بجد ضامم حاجات كتير بجد رائع,العربية,كامل,إيجابي,متوافق,القيمة الشاملة/كل شيء في مكان واحد,تقييم عام,فرصة متوسطة,المستخدم يقدّر وجود احتياجات إسلامية متعددة في تطبيق واحد، بشرط ألا يضيع الوعد الأساسي.,حافظ على شمولية الأدوات، لكن نظّمها حول رحلة يومية واضحة بدل عرضها كقائمة خصائص مبعثرة.,S01
3,Abdelkareemtalaat,2026-07-05,5,excellent,الإنجليزية,كامل,إيجابي,متوافق,تقييم عام,,إشارة عامة,مدح عام لا يكشف سبب القيمة؛ يجب قياس لحظة الإعجاب داخل التطبيق بدل الاعتماد على التعليقات القصيرة.,أضف استبيانًا اختياريًا قصيرًا داخل التطبيق: «ما أكثر ميزة أفادتك؟» بعد عدة جلسات ناجحة.,S01
4,Mona Abdelmaged,2026-06-30,5,ممتاز جدا الله يجزيكم خير المشكلة الوحيدة نسخة الاندرويد لا يوجد فيه صوت,العربية,كامل,مختلط/طلب,متوافق جزئيًا,تكافؤ Android وiOS,الصوت والتلاوة,P1,حتى المستخدم الراضي قد يعتبر غياب ميزة أساسية على Android نقصًا واضحًا، ويقارن المنصتين مباشرة.,أنشئ مصفوفة تكافؤ منصات تمنع إصدار أي ميزة أساسية على iOS دون Android أو العكس.,"S01,S02"
5,Marouane Sbai,2026-06-30,5,honestly it's one of the best app for reading Koran and follow your Weird and many things like Dikr also it's so easy to use specifically for old man or someone one every thing in one place,الإنجليزية,كامل,إيجابي,متوافق,سهولة الاستخدام وإتاحة كبار السن,الختمة والورد اليومي,فرصة عالية,البساطة، وضوح الورد، وجمع الاحتياجات في مكان واحد عوامل قيمة خصوصًا لكبار السن.,اعتمد وضعًا مريحًا: خطوط أكبر، تباين واضح، أزرار كبيرة، ومسارات قصيرة للقراءة والأذكار.,S02
6,Sea,2026-06-29,5,The best application jazakom alh khyer 🤍,الإنجليزية,كامل,إيجابي,متوافق,تقييم عام,,إشارة عامة,الثقة والامتنان قويان في التطبيقات الدينية، لكن يجب ربطهما بميزات قابلة للقياس.,اطلب التقييم بعد إنجاز ورد أو المحافظة على الصلاة/الأذكار لعدة أيام، لا بعد فتح التطبيق مباشرة.,S02
7,Tariq Satar,2026-06-29,5,this is very good for Muslim and I loved this because is very very important🤩 for Muslim and I'm very …,الإنجليزية,جزئي,إيجابي,متوافق,تقييم عام,القيمة الدينية اليومية,إشارة عامة,التطبيق يُنظر إليه كأداة مهمة للمسلم، لكن النص مقطوع ولا يحدد ميزة بعينها.,وضّح في صفحة المتجر وبداية التطبيق ما الذي يجعل MeMuslim «مهمًا يوميًا» في جملة واحدة.,S02
8,Kareem Aboelataa,2026-06-02,1,"very bad application, so old UI UX, it makes you feel that this application developed in 2014 and never gets updated, so bad for the eyes also, idk how you got this 5m downloads.",الإنجليزية,كامل,سلبي,متوافق,التصميم وتجربة الاستخدام,إجهاد العين,P1,الانتشار الكبير لا يعوّض واجهة قديمة أو مرهقة للعين؛ هذا باب تفوق مباشر لـ MeMuslim.,استثمر في واجهة هادئة وحديثة، وضع ليلي حقيقي، تباين مدروس، ومسافات وخط عربي مريح.,S03
9,Aishamaaso,2026-05-14,1,so good Alhamdulillah,الإنجليزية,كامل,إيجابي,غير متوافق (نص إيجابي مع نجمة واحدة),تقييم عام,مشكلة في فهم/اختيار التقييم,P1,بعض المستخدمين يكتبون مدحًا مع نجمة واحدة، ما يعني أن النجوم وحدها لا تكفي وقد تكون واجهة طلب التقييم مربكة.,اختبر تدفق طلب التقييم ووضّح معنى النجوم، واطلب التقييم في لحظة نجاح دون ضغط أو خداع.,S03
10,Nourhan Ayad,2026-03-12,1,والله غش في تلفونات الاندرويد ما في تحديثات نفس تلفون الايفون شو هاي العنصرية 😢💔,العربية,كامل,سلبي,متوافق,تكافؤ Android وiOS,وتيرة التحديثات,P1,فجوة المنصات تتحول سريعًا إلى إحساس بعدم الإنصاف وتضر العلامة، حتى لو كانت أسبابها تقنية.,انشر سجل ميزات موحدًا، واعتبر تكافؤ Android/iOS بوابة إصدار لا مجرد هدف لاحق.,S03
