theme,primary_disposition,note
adhan-reliability,spec_043,"FR-006..009, strongest signal (10 rows)"
integrity-text,spec_043,"FR-001/001a/002"
integrity-number,spec_043,"FR-003a (K46)"
integrity-boundary,spec_043,"FR-003b (K27); plan use = 023"
athkar-content,spec_043,"GOV-003 (K15)"
location-fallback,spec_043,"FR-015..017 (K13)"
parity,spec_043,"FR-011..014 release gate"
stability-report,spec_043,"FR-005 issue reporting"
khatma-wird-loop,spec_023,"owned; MVP implemented"
continue-listening,spec_023,"amendment 023-A1 plan-aware listening; resume already implemented; product-inference not K35"
gentle-adherence,spec_023,"amendment 023-A2 (K51); listening streak exists"
widget-progress,spec_041,"amendment 041-A1 (K48,K51)"
ui-ux-modernization,deferred,"roadmap P1"
accessibility-elderly,deferred,"roadmap P1 (K05)"
monetization-ads,competitor_specific,"MeMuslim ad-free; non-copy"
riwayat,future_spec,"P2, market-entry gated"
tafsir,future_spec,"K14"
audio-recitation,future_spec,"K35 robustness"
adhan-voice,deferred,"P2 (K17)"
product-freshness,deferred,"P2 (K24)"
general-praise,non_actionable,"satisfaction signal only"
